imdbId,Genre,umap_x,umap_y,cluster_dbscan
2852432,Crime|Drama,2.3831358,5.024935,1
1646979,Drama,6.5613217,2.9773195,2
360016,Comedy|Drama|Romance,7.324862,3.1768076,2
234041,Biography|Crime|Drama,4.333991,3.801885,2
54135,Comedy|Crime|Music,1.238977,2.743164,3
120371,Drama,5.653002,3.8871684,2
66423,Comedy,3.4849129,1.6540192,4
105150,Drama|Romance,0.39737722,4.2189145,3
83564,Comedy|Drama|Family,0.68966156,2.651919,10
60305,Crime|Drama,3.5970716,6.4074454,5
44789,Crime|Drama|Film-Noir,2.1382732,2.9517987,3
86370,Comedy|Crime,1.2418059,4.143289,3
2815902,Drama|Horror|Mystery,3.4338274,5.977631,5
53017,Drama,0.64753664,4.5659084,3
14945,Comedy|Romance,1.1367981,3.7078724,3
167945,Comedy|Fantasy|Romance,4.242331,2.5579805,4
425210,Crime|Drama|Mystery,7.346022,3.9130273,2
61549,Sci-Fi|Horror,4.113708,6.099039,5
2100093,Animation|Adventure|Comedy,2.678664,5.7278595,1
159241,Short|Horror,2.475932,5.4499636,1
77714,Comedy|Music|Romance,1.1296986,2.540994,3
1974254,Documentary,7.071331,3.286094,2
388242,Comedy|Drama,0.6525947,3.3513267,3
4855748,Drama|Music,3.694395,6.3316803,5
1600429,Horror,6.1720214,4.605777,2
2359427,Documentary|Biography|Sport,2.8400729,2.6869886,-1
75675,Crime|Drama|Mystery,3.9588203,5.766117,5
1331115,Documentary|Music,1.48335,3.9046378,3
3020226,Drama|Family,4.101491,3.2711146,2
1124388,Comedy|Romance,3.3835037,3.2390738,6
109454,Drama|History|Romance,3.963796,5.0976634,5
58275,Adventure|Comedy|Musical,4.1338224,2.2800028,4
19655,Drama,4.134325,4.8703814,2
116975,Drama|History|War,7.0592313,4.866478,2
245509,Documentary|Short|Music,3.7752764,5.1469164,5
3723790,Horror,3.5143294,1.060125,4
6041048,Comedy|Romance,2.2311077,4.1236444,12
109190,Adventure|Comedy|Crime,3.9696107,6.4367623,5
1800372,Drama|Family,4.778193,1.8531767,-1
1251725,Comedy|Drama,6.397219,4.435633,2
1964773,Drama,5.3607364,3.4131217,2
70903,Drama|Romance,0.7249374,3.1584315,3
2982306,Comedy,6.39623,5.627931,2
81613,Drama,3.5043352,5.562376,5
446747,Comedy,0.59789765,3.5999563,3
411291,Drama|Romance,3.0655324,1.3151956,4
412536,Drama|Romance,3.7579446,3.1447117,4
27938,Horror|Sci-Fi,6.3816457,2.8184505,2
33289,Biography|Drama,7.011779,4.266799,2
167046,Animation|Short|Comedy,2.159381,5.883063,7
1334278,Family|Fantasy,1.7607211,3.1862514,3
2224455,Animation|Action|Sci-Fi,6.385687,2.7522671,2
2043931,Documentary|Music,6.040916,4.3757863,2
81126,Biography|Drama,4.061254,2.4545212,4
319728,Horror|Thriller,2.008276,3.034441,3
2712878,Documentary|Biography|Drama,4.311648,4.038881,2
363282,Comedy|Crime|Family,6.1899486,3.610064,2
34881,Comedy|Fantasy|Romance,1.4638689,2.2929466,3
67799,Horror,3.1640828,4.514729,-1
1459052,Documentary,3.581866,2.7785385,4
1139111,Animation|Adventure|Family,2.0802615,3.8038387,-1
77191,Comedy|Drama,6.416836,2.837253,2
112820,Comedy|Sci-Fi,6.3290954,3.1926546,2
479519,Comedy|Romance,5.0344057,2.6751947,2
70680,Action|Comedy|Crime,0.4403786,3.11888,3
1722426,Drama,5.0752163,4.0105247,2
85210,Crime|Drama|Thriller,6.2812896,3.576003,2
202152,Action|Drama,1.3512793,2.3545809,3
91278,Action|Thriller|War,0.9028093,4.6534386,3
1465513,Comedy|Drama|Romance,0.5365369,3.8710554,3
246278,Comedy|Family|Drama,1.7513422,1.9485123,3
103793,Crime|Drama,0.84991324,2.8805559,3
246002,Comedy|Drama|Family,1.3224951,4.465748,11
460892,Comedy|Romance,2.831688,1.4603982,4
870122,Comedy|Drama,4.694034,2.281761,2
79808,Adventure|Drama|Thriller,0.98553395,2.9745731,3
816711,Action|Adventure|Horror,5.603256,4.571657,2
2461126,Drama|Romance,0.89191234,4.3747163,3
78199,Comedy|Drama|Romance,0.6002252,3.3544922,3
1675434,Biography|Comedy|Drama,4.789137,5.3356514,-1
375912,Crime|Drama|Thriller,6.0741324,3.4761035,2
212517,Comedy|Romance,3.8566995,2.3578446,4
1203523,Action|Crime|Drama,6.218857,4.448926,2
1130993,Crime|Drama|Thriller,3.375906,3.7838032,2
61404,Romance|Western,1.761499,3.5540416,3
1145157,Comedy|Music|Romance,6.2722006,2.6280715,2
1686018,Horror,3.8807995,6.2693396,5
39266,Comedy|Drama,1.0964644,4.361264,3
456123,Comedy,5.699349,4.8299456,2
109449,Horror,3.924719,5.537513,5
97557,Fantasy|Horror|Thriller,6.7674932,4.0424786,2
